"Kategorie A";14;;;;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. AM";"Krnov";"M.J.F.";"TdS"
"Lepka";"Václav";"YOGI Racing Ostrava 2";26;41;18;26;0
"Lukeš";"Stanislav";"Cyklo Racing Olomouc";37;0;0;0;0
"Motyka";"Tomáš";"A Bike Club Ostrava";0;0;22;36;28
"Mrozek";"Jiøí";"Kolík Hobby Bohumín";0;0;0;30;23
"Muzyk";"Wojciech";"Sotol Rowery";0;0;0;0;42
"Novák";"Milan";"BICYKLY CZ";40;45;42;0;33
"NOVOTNÝ";"Pavel";"Force KCK Zlín";0;0;50;0;0
"Pavlík";"Petr";"Racing Olešná ""A""";0;38;19;0;24
"Pìgøimek";"Milan";"CK Orlík Orlová";0;0;0;0;0
"Pelc";"Ladislav";"CK Continental Frenštát p. R. ""A""";60;70;"DNF";55;60
"Petruš";"Lubomír";"ACS DRAK VRBNO";0;0;39;0;0
"Praski";"Henryk";"Kolík& Hobby ""B""";0;54;0;0;39
"Raus";"Pavel";"Novatop Lapierre";38;0;0;0;38
"Rumiñski";"Stanislaw";;34;0;28;33;40
"Rupa";"Miroslav";"YOGI Racing Ostrava 1";0;0;"DNF";0;25
"Rybicki";"Ludwik";;"DNF";0;0;0;0
"Satinský";"Alexandr";"YOGI Racing Ostrava 1";46;56;37;60;34
"Savka";"Miroslav";"CK Orlík Orlová";0;0;17;28;18
"Schneider";"Rudolf";"CK Continental Frenštát p. R. ""B""";0;0;0;29;0
"SEDLÁÈEK";"Jiøí";"SK Jiøí team";0;0;29;44;0
"Sikora";"Miroslav";"TJ TŽ Tøinec";0;50;38;0;32
"Sikora";"Petr";"Lowell Pro Šafrata Team Bohumín";0;0;0;31;0
"Skøeèek";"Robert";"KC Brno";50;0;60;0;0
"Slezák";"Josef";"FORCE KCK CYKLOTEAM ZLÍN";55;58;46;48;50
"Škráèek";"Karel";"Vysot Sport Kunín";31;0;0;0;0
"ŠVEHA";"Miroslav";"Bike sport";0;0;48;0;0
"URBÁŠEK";"Jiøí";"Goffy team";0;0;27;0;0
"Vyoral";"Lubomír";"Kolík& Hobby ""A""";28;40;23;38;29
"Widenka";"Aleš";"Kolík& Hobby ""B""";0;0;0;0;0
"Wiœniewski";"Jerzy";;"DNF";0;0;0;0
"Zdanowicz";"Marek";"Merida Gliwice";0;0;0;32;26
"Zemánek";"Lubomír";"Cyklokramo Suchdol nad Odrou ""A""";39;0;0;0;46
"Zvoníèek";"Radomír";"FORCE KCK CYKLOTEAM ZLÍN";48;0;55;50;55
;;;;;;;
"Kategorie E";14;;;;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. AM";"Krnov";"M.J.F.";"TdS"
"Bluszcz";"Stefan";"Lowell Pro Šafrata Team Bohumín";42;58;0;39;42
"Burian";"Vlastimil";"Cyklokramo Suchdol nad Odrou ""B""";0;48;0;0;35
"Danìèek";"Pavel";"Loko Krnov";60;70;44;0;0
"Dubný";"Pavel";"Cyklokramo Suchdol nad Odrou ""B""";37;47;37;38;39
"Gieracz";"Marek";"CTC SCOUT CZESTOCHOWA";0;0;0;0;36
"Glogar ";"Jan";"YOGI Racing Ostrava 2";0;0;33;"DNF";0
"Homola ";"Petr";"YOGI Racing Ostrava 1";40;50;38;40;40
"Kramoliš";"Radomír";"Cyklokramo Suchdol nad Odrou ""B""";0;0;0;0;0
"Kubík";"Josef";"Kolík& Hobby ""A""";39;49;39;44;37
"Leszczynski ";"Ksawery ";"Kolík& Hobby ""C""";0;0;0;0;44
"Masný ";"Milan";"Racing Olešná ""A""";0;0;55;0;0
"Misina";"Andrzej ";"ACK Stará Ves nad Ondøejnicí";44;0;42;50;46
"Mlynáø";"Miloslav";"ACS DRAK VRBNO";0;0;34;0;0
"Mottl";"Bohumír";"Kolík& Hobby ""A""";46;65;50;46;55
"Mrakvia";"Zdenìk";"skvelakola.cz";36;44;32;34;0
"Mrnùštík";"Josef";"Cyklotech-Pro a Mrnùštík";0;45;0;0;32
"Muška";"Josef";"CK Feso Petøvald";0;0;35;0;38
"Oslzla";"Stanislav";"Brušperk";0;0;36;37;34
"Pavelek";"František";"CK Continental Frenštát p. R. ""B""";0;0;0;36;33
"Pavlík";"Jiøí";"skvelakola.cz";48;60;46;55;60
"Pekarèík";"Jiøí";"Cyklokramo Suchdol nad Odrou ""B""";0;0;31;0;0
"Rychta";"Otmar";"Cyklistika pro všechny Krnov";0;0;0;0;0
"Sasiadek";"Czoslaw";"Rybnik";0;0;0;60;0
"Skotnica";"Josef";"SKP Opava";35;46;30;35;31
"Šlonc";"Vlastimil";"TŽ Tøinec";55;0;0;0;0
"Tešnar";"Tomáš";"YOGI Racing Ostrava 1";50;56;48;42;48
"Toman";"Vladislav";"Cyklokramo Suchdol nad Odrou ""A""";0;52;60;48;50
"Veselý";"Petr";"TJ TŽ Tøinec";38;54;40;0;0
;;;;;;;
"Kategorie ŽA";14;;;;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. AM";"Krnov";"M.J.F.";"TdS"
"Bajgerová ";"Nikola";"ACK Stará Ves";0;0;48;0;0
"BARTOŠOVÁ";"Denisa";"FESO Petøvald";0;0;55;60;0
"Frantová";"Kateøina";"Racing Olešná ""B""";0;0;0;0;0
"Gruchalová";"Lucie";"Lowell Pro Šafrata Team Bohumín";60;70;60;46;0
"Holáòová";"Tereza";"Kolík& Hobby ""B""";0;0;0;0;0
"Chmurová";"Jana";"Team Forman Cinelli";55;52;37;40;46
"Ištvánová";"Michaela";"ACK Stará Ves";0;0;0;0;50
"Kotalová";"Veronika";"CK Feso Petøvald";0;0;44;42;0
"Krzyžanková";"Lenka";"KC Kooperativa SG Jablonec nad Nisou";0;56;0;0;0
"Kratochvílová";"Eva";"A Bike Club Ostrava";0;0;0;42;55
"Kusidlo";"Katarzyna";"Kolík& Hobby ""A""";0;0;0;44;44
"Lantová ";"Romana";"Cyklistika pro všechny Krnov";0;54;38;50;48
"Mudøíková";"KATEØINA";"TJ Kolík Bohumín";0;65;39;48;0
"NAVRÁTILOVÁ";"Kateøina";"Sigma Hranice";0;0;40;0;0
"Sikorová";"Michaela";"TJ TŽ Tøinec";0;58;46;"DNF";60
"Sladkovská";"Petra";"CK Continental Frenštát p. R. ""B""";0;0;0;0;0
"STONOVA";"Tamara";"Forman Cinelli";0;0;50;0;0
"Sýkorová";"Eliška";"ACS Drak Vrbno";48;0;33;0;0
"Šimková";"Barbora";"ACK Stará Ves nad Ondøejnicí";0;60;42;0;0
"Škopcová";"Klára";"ACS DRAK VRBNO";50;0;35;0;42
"Tomanová";"Lucie";"Cyklokramo Suchdol nad Odrou ""A""";0;0;34;38;0
"Ublanská ";"Kamila";"CK Orlík Orlová";0;50;36;39;0
;;;;;;;
"Kategorie ŽB";14;;;;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. AM";"Krnov";"M.J.F.";"TdS"
"Báèová";"Pavla";"SCS Mirva Svitavy";0;58;0;0;0
"Bilková";"Jarmila";"TŽ Tøinec";44;0;0;0;0
"Danìèková";"Romana";"MAPEI Cyclo Kaòkovský";55;60;60;0;60
"Dohnalová";"Jaroslava";"Cyklistika pro všechny Krnov";50;65;50;48;50
"Halmová ";"Eva";"CK Orlík Orlová";0;52;0;46;42
"Jaklová";"Ivana";"Lowell Pro Šafrata Team Bohumín";0;70;55;55;55
"Lantová ";"Romana";"Cyklistika pro všechny Krnov";46;54;42;60;48
"Líbenková ";"Sylva";"Kolík& Hobby ""A""";0;0;46;50;0
"Pargaèová";"Marcela";"Cyklokramo Suchdol nad Odrou ""A""";48;56;40;0;0
"Procházková";"Hana";"CK Orlík Orlová";0;0;0;0;0
"ROMANKOVA";"Anna";"CPV Krnov";0;0;39;0;0
