Kategorie A;12;;;;;;
pøíjmení;jméno;klub;Karlov;MJF;Bílovec;KrnKrit;BohÈas
CK Kolík Hobby Bohumín B;;;0;68;38;0;125
CK Orlík Orlová;;;0;34;0;0;94
Cyklistika pro všechny Krnov;;;110;46;46;78;116
Cyklokramo Suchdol nad Odrou;;;123;128;139;140;139
Cykloservis MB;;;0;83;116;0;112
Cyklosport HF Opava-Bikestyle.cz;;;159;155;148;154;130
CZERNICA MASTERS;;;55;124;72;113;86
FORCE KCK ZLÍN;;;170;170;170;165;140
IN-LIFE Cycling Team/Puskinak.cz;;;94;95;89;0;50
KILPI RACING TEAM OSTRAVA ;;;144;113;129;108;132
Lowell Pro Šafrata Team Bohumín;;;0;33;50;0;81
Racing Olešná;;;0;46;67;0;115
SK Bagbike;;;94;125;146;42;135
Skvìlá kola;;;103;123;55;46;136
TJ T Tøinec;;;127;92;104;48;113
YOGI Racing Ostrava 1;;;0;107;130;88;137
YOGI Racing Ostrava 2;;;0;0;0;0;26
